model_id,org,proposed_launch_date,evidence_url,evidence_domain,evidence_title,evidence_published_date,evidence_type,supporting_snippet,notes,collector_agent,collected_at_utc,judge_status,judge_reason,required_fix,judge_confidence,judged_at_utc,attempt_count
anthropic/claude-3-haiku,anthropic,2024-03-13,https://www.anthropic.com/news/claude-3-haiku,anthropic.com,Claude 3 Haiku: our fastest model yet,2024-03-13,newsroom,"The page header is dated Mar 13, 2024 and says Claude 3 Haiku is being released and available in the API and Claude.ai.",Claude 3 family was introduced on 2024-03-04; this is the dedicated Haiku launch announcement.,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-3.5-haiku,anthropic,2024-10-22,https://www.anthropic.com/news/3-5-models-and-computer-use,anthropic.com,"Introducing computer use, a new Claude 3.5 Sonnet, and Claude 3.5 Haiku",2024-10-22,newsroom,"This announcement is dated Oct 22, 2024 and explicitly introduces Claude 3.5 Haiku as a new model.","Source is a joint launch post covering computer use, Sonnet 3.5 (new), and Haiku 3.5.",collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-3.5-sonnet,anthropic,2024-06-21,https://www.anthropic.com/news/claude-3-5-sonnet,anthropic.com,Claude 3.5 Sonnet,2024-06-21,newsroom,"The page is dated Jun 21, 2024 and states Anthropic is launching Claude 3.5 Sonnet as the first Claude 3.5 release.",This is the initial Sonnet 3.5 launch; Anthropic later announced an upgraded Sonnet 3.5 on 2024-10-22.,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-3.7-sonnet,anthropic,2025-02-24,https://www.anthropic.com/news/claude-3-7-sonnet,anthropic.com,Claude 3.7 Sonnet and Claude Code,2025-02-24,newsroom,"The announcement date is Feb 24, 2025 and it introduces Claude 3.7 Sonnet as Anthropic’s first hybrid reasoning model.",,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-3.7-sonnet:thinking,anthropic,2025-02-24,https://www.anthropic.com/news/claude-3-7-sonnet,anthropic.com,Claude 3.7 Sonnet and Claude Code,2025-02-24,newsroom,"Anthropic’s Feb 24, 2025 launch states Claude 3.7 Sonnet includes extended thinking mode; this benchmark model ID maps to anthropic/claude-3.7-sonnet:thinking.",The ':thinking' variant is a reasoning mode/capability of Claude 3.7 Sonnet rather than a separate standalone announcement page. Model ID explicitly mapped to thinking mode in snippet.,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-haiku-4.5,anthropic,2025-10-15,https://www.anthropic.com/news/claude-haiku-4-5,anthropic.com,Introducing Claude Haiku 4.5,2025-10-15,newsroom,"The page is dated Oct 15, 2025 and states Claude Haiku 4.5 is available today.",,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-opus-4,anthropic,2025-05-22,https://www.anthropic.com/news/claude-4,anthropic.com,Introducing Claude 4,2025-05-22,newsroom,"The May 22, 2025 launch post introduces the next generation models: Claude Opus 4 and Claude Sonnet 4.",Opus 4 and Sonnet 4 were announced together in one post.,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-opus-4.1,anthropic,2025-08-05,https://www.anthropic.com/news/claude-opus-4-1,anthropic.com,Claude Opus 4.1,2025-08-05,newsroom,"Dated Aug 5, 2025, this post says Anthropic is releasing Claude Opus 4.1 as an upgrade to Opus 4.",,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-opus-4.5,anthropic,2025-11-24,https://www.anthropic.com/news/claude-opus-4-5,anthropic.com,Introducing Claude Opus 4.5,2025-11-24,newsroom,"The announcement is dated Nov 24, 2025 and says Claude Opus 4.5 is available today.",,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-opus-4.6,anthropic,2026-02-05,https://www.anthropic.com/news/claude-opus-4-6,anthropic.com,Introducing Claude Opus 4.6,2026-02-05,newsroom,"This page is dated Feb 5, 2026 and introduces the new Claude Opus 4.6 model.",,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-sonnet-4,anthropic,2025-05-22,https://www.anthropic.com/news/claude-4,anthropic.com,Introducing Claude 4,2025-05-22,newsroom,"The May 22, 2025 post explicitly launches Claude Sonnet 4 alongside Claude Opus 4.",Sonnet 4 and Opus 4 were announced together in one post.,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-sonnet-4.5,anthropic,2025-09-29,https://www.anthropic.com/news/claude-sonnet-4-5,anthropic.com,Introducing Claude Sonnet 4.5,2025-09-29,newsroom,"The page date is Sep 29, 2025 and the post introduces Claude Sonnet 4.5.",,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
anthropic/claude-sonnet-4.6,anthropic,2026-02-17,https://www.anthropic.com/news/claude-sonnet-4-6,anthropic.com,Introducing Claude Sonnet 4.6,2026-02-17,newsroom,"The article is dated Feb 17, 2026 and presents Claude Sonnet 4.6 as the newest Sonnet release.",,collector_anthropic,2026-02-27T09:53:54Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
baidu/ernie-4.5-300b-a47b,baidu,2025-06-30,https://ernie.baidu.com/blog/posts/ernie4.5/,ernie.baidu.com,Announcing the Open Source Release of the ERNIE 4.5 Model Family,2025-06-30,announcement_blog,"June 30, 2025 ... ERNIE-4.5-300B-A47B, the post trained model, demonstrates significant strengths ...",Exact model variant and explicit date are present on Baidu's official ERNIE blog.,collector_apac_longtail,2026-02-27T00:00:00Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
bytedance-seed/seed-1.6,bytedance-seed,2025-06-25,https://seed.bytedance.com/zh/blog/seed1-6-%E7%B3%BB%E5%88%97%E6%A8%A1%E5%9E%8B%E6%8A%80%E6%9C%AF%E4%BB%8B%E7%BB%8D,seed.bytedance.com,Seed1.6 系列模型技术介绍,2025-06-25,announcement_blog,日期 2025-06-25 ... Seed1.6 是字节跳动 Seed 团队推出的最新通用模型系列 ...,Official Seed team model-release post with explicit date for Seed1.6 series.,collector_apac_longtail,2026-02-27T00:00:00Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
deepseek/deepseek-v3.2,deepseek,2025-12-01,https://api-docs.deepseek.com/news/news251201,api-docs.deepseek.com,DeepSeek-V3.2 Release,2025-12-01,docs_release_note,DeepSeek-V3.2 Release 2025/12/01 ... Launching DeepSeek-V3.2 & DeepSeek-V3.2-Speciale ...,Official DeepSeek API Docs release page includes explicit date and launch statement.,collector_apac_longtail,2026-02-27T00:00:00Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
google/gemini-2.0-flash-001,google,2025-02-05,https://ai.google.dev/gemini-api/docs/changelog,ai.google.dev,Release notes | Gemini API | Google AI for Developers,2025-02-05,docs_release_note,The 2025-02-05 Model updates section lists gemini-2.0-flash-001 as the GA Gemini 2.0 Flash release.,Earliest dated changelog entry containing this exact model ID.,collector_google,2026-02-27T09:53:18Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
google/gemini-2.5-flash,google,2025-06-17,https://ai.google.dev/gemini-api/docs/changelog,ai.google.dev,Release notes | Gemini API | Google AI for Developers,2025-06-17,docs_release_note,The 2025-06-17 section records release of gemini-2.5-flash as the first stable 2.5 Flash model.,Earliest dated changelog entry containing this exact model ID.,collector_google,2026-02-27T09:53:18Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
google/gemini-2.5-pro,google,2025-06-17,https://ai.google.dev/gemini-api/docs/changelog,ai.google.dev,Release notes | Gemini API | Google AI for Developers,2025-06-17,docs_release_note,The 2025-06-17 section records release of gemini-2.5-pro as the stable 2.5 Pro model.,Earliest dated changelog entry containing this exact model ID.,collector_google,2026-02-27T09:53:18Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
google/gemini-3-flash-preview,google,2025-12-17,https://ai.google.dev/gemini-api/docs/changelog,ai.google.dev,Release notes | Gemini API | Google AI for Developers,2025-12-17,docs_release_note,The 2025-12-17 section announces Gemini 3 Flash Preview and includes model ID gemini-3-flash-preview.,Earliest dated changelog entry containing this exact model ID.,collector_google,2026-02-27T09:53:18Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
google/gemini-3-pro-preview,google,2025-11-18,https://ai.google.dev/gemini-api/docs/changelog,ai.google.dev,Release notes | Gemini API | Google AI for Developers,2025-11-18,docs_release_note,The 2025-11-18 section says the first Gemini 3 series model launched as gemini-3-pro-preview.,Earliest dated changelog entry containing this exact model ID.,collector_google,2026-02-27T09:53:18Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
google/gemini-3.1-pro-preview,google,2026-02-19,https://ai.google.dev/gemini-api/docs/changelog,ai.google.dev,Release notes | Gemini API | Google AI for Developers,2026-02-19,docs_release_note,The 2026-02-19 section announces Gemini 3.1 Pro Preview; the same date section also references gemini-3.1-pro-preview in an endpoint update.,Launch line uses model name; exact ID is inferred from same-day changelog entry containing gemini-3.1-pro-preview.,collector_google,2026-02-27T09:53:18Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
google/gemma-3-27b-it,google,2025-03-12,https://ai.google.dev/gemini-api/docs/changelog,ai.google.dev,Release notes | Gemini API | Google AI for Developers,2025-03-12,docs_release_note,The 2025-03-12 Model updates section lists release of gemma-3-27b-it as part of the Gemma 3 launch.,Earliest dated changelog entry containing this exact model ID.,collector_google,2026-02-27T09:53:18Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
minimax/minimax-m2.5,minimax,2026-02-12,https://www.minimaxi.com/news/minimax-m25,minimaxi.com,MiniMax M2.5: 更快更强更智能，为真实世界生产力而生,2026-02-12,newsroom,2026.2.12 ... # MiniMax M2.5 ... 今天我们来介绍 MiniMax-M2.5。,Official MiniMax news post with exact date and direct introduction of M2.5.,collector_apac_longtail,2026-02-27T00:00:00Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
mistralai/mistral-large-2512,mistralai,2025-12-02,https://docs.mistral.ai/getting-started/changelog/,docs.mistral.ai,Changelog - Mistral AI Documentation,2025-12-02,changelog,"""Dec 25"" section, ""December 2"": ""We released Mistral Large 3 (`mistral-large-2512`)"".",Date is from the dated changelog entry that explicitly names the model ID.,collector_frontier_other,2026-02-27T09:53:25Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
moonshotai/kimi-k2.5,moonshotai,2026-01-27,https://www.kimi.com/ai-models/kimi-k2-5,kimi.com,"Kimi K2.5: AI That Sees, Codes, and Works Like an Expert",2026-01-27,docs_release_note,"Kimi K2.5 is ... officially released on January 27, 2026.",Release date is explicitly stated on Kimi's official model page; parsed page content did not expose a separate publication timestamp.,collector_apac_longtail,2026-02-27T00:00:00Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/chatgpt-4o-latest,openai,2024-08-15,https://developers.openai.com/api/docs/changelog,developers.openai.com,Changelog | OpenAI API,2024-08-15,changelog,Aug 15 changelog entry introduces the dynamic chatgpt-4o-latest alias.,Explicitly named in dated API changelog entry.,collector_openai,2026-02-27T09:56:46Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/gpt-4.1,openai,2025-04-14,https://developers.openai.com/api/docs/changelog,developers.openai.com,Changelog | OpenAI API,2025-04-14,changelog,Apr 14 changelog entry adds gpt-4.1 models to the API.,Dated changelog includes gpt-4.1 by name.,collector_openai,2026-02-27T09:56:46Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/gpt-4o,openai,2024-05-13,https://developers.openai.com/api/docs/changelog,developers.openai.com,Changelog | OpenAI API,2024-05-13,changelog,May 13 changelog entry states GPT-4o was released in the API.,Explicit dated launch entry for GPT-4o API availability.,collector_openai,2026-02-27T09:56:46Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/gpt-4o-2024-08-06,openai,2024-08-06,https://developers.openai.com/api/docs/changelog,developers.openai.com,Changelog | OpenAI API,2024-08-06,changelog,Aug 6 changelog entry announces gpt-4o-2024-08-06 as a new gpt-4o model.,Exact snapshot ID is explicitly listed with date.,collector_openai,2026-02-27T09:56:46Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/gpt-4o-mini,openai,2024-07-18,https://developers.openai.com/api/docs/changelog,developers.openai.com,Changelog | OpenAI API,2024-07-18,changelog,Jul 18 changelog entry releases GPT-4o mini in the API.,Explicit dated launch entry for gpt-4o-mini.,collector_openai,2026-02-27T09:56:46Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/gpt-4o-mini-2024-07-18,openai,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,openai.com,GPT-4o mini: advancing cost-efficient intelligence | OpenAI,2024-07-18,announcement_blog,"The July 18, 2024 launch post announces GPT-4o mini; OpenAI docs list the explicit snapshot ID gpt-4o-mini-2024-07-18 for this launch line.","No explicit publication date is shown on the snapshot listing page, and no separate dated launch post for this exact snapshot ID was found. Backfilled from first-party launch post plus first-party model snapshot listing.",collector_openai,2026-02-27T10:03:13Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/gpt-5,openai,2025-08-07,https://developers.openai.com/api/docs/changelog,developers.openai.com,Changelog | OpenAI API,2025-08-07,changelog,"Aug 7 changelog entry releases the GPT-5 family, including gpt-5, in the API.",Dated launch entry includes gpt-5 explicitly.,collector_openai,2026-02-27T09:56:46Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/gpt-5-chat,openai,2025-08-07,https://openai.com/index/introducing-gpt-5-for-developers/,openai.com,Introducing GPT-5 for developers | OpenAI,2025-08-07,announcement_blog,"The August 7, 2025 launch post states that the non-reasoning model used in ChatGPT is available in the API as gpt-5-chat-latest.",No separate dated launch entry for exact ID gpt-5-chat was found; first-party docs expose gpt-5-chat-latest alias without explicit publish date. Backfilled from first-party OpenAI launch post with explicit date and alias mention.,collector_openai,2026-02-27T10:03:13Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/gpt-5-codex,openai,2025-09-15,https://openai.com/index/introducing-upgrades-to-codex/,openai.com,Introducing upgrades to Codex | OpenAI,2025-09-15,announcement_blog,This launch post introduces gpt-5-codex as a specialized Codex model.,"Predates API changelog rollout entry (Sep 23, 2025).",collector_openai,2026-02-27T09:56:46Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/gpt-5.1,openai,2025-11-13,https://developers.openai.com/api/docs/changelog,developers.openai.com,Changelog | OpenAI API,2025-11-13,changelog,Nov 13 changelog entry releases GPT-5.1 as the newest GPT-5 flagship model.,Dated API launch entry includes gpt-5.1 explicitly.,collector_openai,2026-02-27T09:56:46Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/gpt-5.1-chat,openai,2025-11-13,https://developers.openai.com/api/docs/changelog,developers.openai.com,Changelog | OpenAI API,2025-11-13,changelog,Nov 13 changelog badges include gpt-5.1-chat-latest in the GPT-5.1 release block.,First-party dated alias found as gpt-5.1-chat-latest; no separate dated slug for gpt-5.1-chat.,collector_openai,2026-02-27T09:56:46Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/gpt-5.1-codex,openai,2025-11-13,https://developers.openai.com/api/docs/changelog,developers.openai.com,Changelog | OpenAI API,2025-11-13,changelog,Nov 13 changelog explicitly says gpt-5.1-codex was released to the Responses API.,Exact model ID appears in dated launch entry.,collector_openai,2026-02-27T09:56:46Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/gpt-5.2,openai,2025-12-11,https://developers.openai.com/api/docs/changelog,developers.openai.com,Changelog | OpenAI API,2025-12-11,changelog,Dec 11 changelog entry releases GPT-5.2 in the API.,Dated launch entry includes gpt-5.2 explicitly.,collector_openai,2026-02-27T09:56:46Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/gpt-5.2-codex,openai,2025-12-18,https://openai.com/index/introducing-gpt-5-2-codex/,openai.com,Introducing GPT-5.2-Codex | OpenAI,2025-12-18,announcement_blog,The announcement introduces GPT-5.2-Codex as a specialized coding model.,"Earlier model announcement than API changelog deployment (Jan 14, 2026).",collector_openai,2026-02-27T09:56:46Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/gpt-5.3-codex,openai,2026-02-05,https://openai.com/index/introducing-gpt-5-3-codex/,openai.com,Introducing GPT-5.3-Codex | OpenAI,2026-02-05,announcement_blog,This post announces GPT-5.3-Codex and its coding-focused improvements.,"Earlier than API changelog rollout entry on Feb 24, 2026.",collector_openai,2026-02-27T09:56:46Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/gpt-oss-120b,openai,2025-08-05,https://openai.com/index/introducing-gpt-oss/,openai.com,Introducing gpt-oss | OpenAI,2025-08-05,announcement_blog,The launch post introduces the open model family including gpt-oss-120b.,Exact model name appears in first-party launch announcement.,collector_openai,2026-02-27T09:56:46Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/o3,openai,2025-04-16,https://developers.openai.com/api/docs/changelog,developers.openai.com,Changelog | OpenAI API,2025-04-16,changelog,Apr 16 changelog adds two new o-series reasoning models: o3 and o4-mini.,Dated API launch entry explicitly names o3.,collector_openai,2026-02-27T09:56:46Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
openai/o4-mini,openai,2025-04-16,https://developers.openai.com/api/docs/changelog,developers.openai.com,Changelog | OpenAI API,2025-04-16,changelog,Apr 16 changelog adds two new o-series reasoning models: o3 and o4-mini.,Dated API launch entry explicitly names o4-mini.,collector_openai,2026-02-27T09:56:46Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
prime-intellect/intellect-3,prime-intellect,2025-11-26,https://www.primeintellect.ai/blog/launching-intellect-3,primeintellect.ai,Introducing INTELLECT-3: The First Global Foundation Model,2025-11-26,announcement_blog,"""November 26, 2025"" and ""Today, we release INTELLECT-3"".",Blog post is first-party and includes both explicit date and release statement.,collector_frontier_other,2026-02-27T09:53:25Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
qwen/qwen3.5-397b-a17b,qwen,2026-02-17,https://www.alibabacloud.com/blog/602894,alibabacloud.com,Qwen3.5: Towards Native Multimodal Agents,2026-02-17,announcement_blog,"February 17, 2026 ... official release of Qwen3.5 ... first model ... Qwen3.5-397B-A17B.",Alibaba Cloud official post explicitly announces release and names Qwen3.5-397B-A17B.,collector_apac_longtail,2026-02-27T00:00:00Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
x-ai/grok-4.1-fast,x-ai,2025-11-19,https://x.ai/news/grok-4-1-fast,x.ai,Grok 4.1 Fast,2025-11-19,newsroom,"""November 19, 2025"" and ""we're excited to launch Grok 4.1 Fast"".",xAI news post explicitly dates and announces the launch.,collector_frontier_other,2026-02-27T09:53:25Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
xiaomi/mimo-v2-flash,xiaomi,2025-12-16,https://mimo.xiaomi.com/blog/mimo-v2-flash,mimo.xiaomi.com,Introducing MiMo-V2-Flash | Xiaomi MiMo,2025-12-16,announcement_blog,"The page shows ""December 16, 2025"" and states: ""Today, we are releasing and open-sourcing MiMo-V2-Flash.""",First-party Xiaomi MiMo page with explicit date and launch statement.,collector_apac_longtail,2026-02-27T00:00:00Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
z-ai/glm-5,z-ai,2026-02-12,https://docs.z.ai/release-notes/new-released,docs.z.ai,New Released - Overview - Z.AI DEVELOPER DOCUMENT,2026-02-12,docs_release_note,2026-02-12 ... GLM-5 ... Designed for complex system engineering and long-range Agent tasks ...,Official Z.AI release-notes page lists GLM-5 with explicit date.,collector_apac_longtail,2026-02-27T00:00:00Z,accepted,Accepted: date and evidence pass strict checks.,,0.95,2026-02-27T13:54:53Z,1
