model_id,org,launch_date,evidence_url,evidence_title,evidence_published_date,evidence_type,judge_status,notes,updated_at_utc
anthropic/claude-3-haiku,anthropic,2024-03-13,https://www.anthropic.com/news/claude-3-haiku,Claude 3 Haiku: our fastest model yet,2024-03-13,newsroom,accepted,Claude 3 family was introduced on 2024-03-04; this is the dedicated Haiku launch announcement.,2026-02-27T13:54:53Z
anthropic/claude-3.5-haiku,anthropic,2024-10-22,https://www.anthropic.com/news/3-5-models-and-computer-use,"Introducing computer use, a new Claude 3.5 Sonnet, and Claude 3.5 Haiku",2024-10-22,newsroom,accepted,"Source is a joint launch post covering computer use, Sonnet 3.5 (new), and Haiku 3.5.",2026-02-27T13:54:53Z
anthropic/claude-3.5-sonnet,anthropic,2024-06-21,https://www.anthropic.com/news/claude-3-5-sonnet,Claude 3.5 Sonnet,2024-06-21,newsroom,accepted,This is the initial Sonnet 3.5 launch; Anthropic later announced an upgraded Sonnet 3.5 on 2024-10-22.,2026-02-27T13:54:53Z
anthropic/claude-3.7-sonnet,anthropic,2025-02-24,https://www.anthropic.com/news/claude-3-7-sonnet,Claude 3.7 Sonnet and Claude Code,2025-02-24,newsroom,accepted,,2026-02-27T13:54:53Z
anthropic/claude-3.7-sonnet:thinking,anthropic,2025-02-24,https://www.anthropic.com/news/claude-3-7-sonnet,Claude 3.7 Sonnet and Claude Code,2025-02-24,newsroom,accepted,The ':thinking' variant is a reasoning mode/capability of Claude 3.7 Sonnet rather than a separate standalone announcement page. Model ID explicitly mapped to thinking mode in snippet.,2026-02-27T13:54:53Z
anthropic/claude-haiku-4.5,anthropic,2025-10-15,https://www.anthropic.com/news/claude-haiku-4-5,Introducing Claude Haiku 4.5,2025-10-15,newsroom,accepted,,2026-02-27T13:54:53Z
anthropic/claude-opus-4,anthropic,2025-05-22,https://www.anthropic.com/news/claude-4,Introducing Claude 4,2025-05-22,newsroom,accepted,Opus 4 and Sonnet 4 were announced together in one post.,2026-02-27T13:54:53Z
anthropic/claude-opus-4.1,anthropic,2025-08-05,https://www.anthropic.com/news/claude-opus-4-1,Claude Opus 4.1,2025-08-05,newsroom,accepted,,2026-02-27T13:54:53Z
anthropic/claude-opus-4.5,anthropic,2025-11-24,https://www.anthropic.com/news/claude-opus-4-5,Introducing Claude Opus 4.5,2025-11-24,newsroom,accepted,,2026-02-27T13:54:53Z
anthropic/claude-opus-4.6,anthropic,2026-02-05,https://www.anthropic.com/news/claude-opus-4-6,Introducing Claude Opus 4.6,2026-02-05,newsroom,accepted,,2026-02-27T13:54:53Z
anthropic/claude-opus-4.7,anthropic,2026-04-16,https://www.anthropic.com/news/claude-opus-4-7,Introducing Claude Opus 4.7,2026-04-16,newsroom,accepted,Anthropic's official launch post says Claude Opus 4.7 is generally available today.,2026-04-17T00:00:00Z
anthropic/claude-sonnet-4,anthropic,2025-05-22,https://www.anthropic.com/news/claude-4,Introducing Claude 4,2025-05-22,newsroom,accepted,Sonnet 4 and Opus 4 were announced together in one post.,2026-02-27T13:54:53Z
anthropic/claude-sonnet-4.5,anthropic,2025-09-29,https://www.anthropic.com/news/claude-sonnet-4-5,Introducing Claude Sonnet 4.5,2025-09-29,newsroom,accepted,,2026-02-27T13:54:53Z
anthropic/claude-sonnet-4.6,anthropic,2026-02-17,https://www.anthropic.com/news/claude-sonnet-4-6,Introducing Claude Sonnet 4.6,2026-02-17,newsroom,accepted,,2026-02-27T13:54:53Z
arcee-ai/trinity-large-thinking,arcee-ai,2026-04-01,https://www.arcee.ai/blog/trinity-large-thinking,Trinity-Large-Thinking: Scaling an Open Source Frontier Agent,2026-04-01,announcement_blog,accepted,Official Arcee AI launch post states Trinity-Large-Thinking is live and that the weights are released on Hugging Face under Apache 2.0.,2026-04-08T00:00:00Z
baidu/ernie-4.5-300b-a47b,baidu,2025-06-30,https://ernie.baidu.com/blog/posts/ernie4.5/,Announcing the Open Source Release of the ERNIE 4.5 Model Family,2025-06-30,announcement_blog,accepted,Exact model variant and explicit date are present on Baidu's official ERNIE blog.,2026-02-27T13:54:53Z
bytedance-seed/seed-1.6,bytedance-seed,2025-06-25,https://seed.bytedance.com/zh/blog/seed1-6-%E7%B3%BB%E5%88%97%E6%A8%A1%E5%9E%8B%E6%8A%80%E6%9C%AF%E4%BB%8B%E7%BB%8D,Seed1.6 系列模型技术介绍,2025-06-25,announcement_blog,accepted,Official Seed team model-release post with explicit date for Seed1.6 series.,2026-02-27T13:54:53Z
deepseek/deepseek-v3.2,deepseek,2025-12-01,https://api-docs.deepseek.com/news/news251201,DeepSeek-V3.2 Release,2025-12-01,docs_release_note,accepted,Official DeepSeek API Docs release page includes explicit date and launch statement.,2026-02-27T13:54:53Z
google/gemini-2.0-flash-001,google,2025-02-05,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-02-05,docs_release_note,accepted,Earliest dated changelog entry containing this exact model ID.,2026-02-27T13:54:53Z
google/gemini-2.5-flash,google,2025-06-17,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-06-17,docs_release_note,accepted,Earliest dated changelog entry containing this exact model ID.,2026-02-27T13:54:53Z
google/gemini-2.5-pro,google,2025-06-17,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-06-17,docs_release_note,accepted,Earliest dated changelog entry containing this exact model ID.,2026-02-27T13:54:53Z
google/gemini-3-flash-preview,google,2025-12-17,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-12-17,docs_release_note,accepted,Earliest dated changelog entry containing this exact model ID.,2026-02-27T13:54:53Z
google/gemini-3-pro-preview,google,2025-11-18,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-11-18,docs_release_note,accepted,Earliest dated changelog entry containing this exact model ID.,2026-02-27T13:54:53Z
google/gemini-3.1-pro-preview,google,2026-02-19,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2026-02-19,docs_release_note,accepted,Launch line uses model name; exact ID is inferred from same-day changelog entry containing gemini-3.1-pro-preview.,2026-02-27T13:54:53Z
google/gemini-3.1-flash-lite-preview,google,2026-03-04,https://openrouter.ai/google/gemini-3.1-flash-lite-preview,OpenRouter model listing: google/gemini-3.1-flash-lite-preview,2026-03-04,provider_catalog,accepted,User-requested manual release date override for charting.,2026-03-04T00:07:01Z
google/gemma-3-27b-it,google,2025-03-12,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2025-03-12,docs_release_note,accepted,Earliest dated changelog entry containing this exact model ID.,2026-02-27T13:54:53Z
google/gemma-4-26b-a4b-it,google,2026-04-02,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2026-04-02,docs_release_note,accepted,Earliest dated changelog entry containing the Gemma 4 26B A4B model family launch.,2026-04-08T00:00:00Z
google/gemma-4-31b-it,google,2026-04-02,https://ai.google.dev/gemini-api/docs/changelog,Release notes | Gemini API | Google AI for Developers,2026-04-02,docs_release_note,accepted,Earliest dated changelog entry containing the Gemma 4 31B model family launch.,2026-04-08T00:00:00Z
meta-llama/llama-3.1-8b-instruct,meta,2024-07-23,https://about.fb.com/news/2024/07/open-source-ai-is-the-path-forward/,Open Source AI Is the Path Forward,2024-07-23,newsroom,accepted,Meta announced the Llama 3.1 8B/70B/405B family together in the official launch post; this row maps the benchmarked instruct variant to that release.,2026-03-07T21:10:40Z
meta-llama/llama-4-maverick,meta,2025-04-05,https://about.fb.com/ltam/news/2025/04/la-coleccion-de-modelos-llama-4-el-inicio-de-una-nueva-era-de-innovacion-multimodal-nativa-para-inteligencia-artificial/,La coleccion de modelos Llama 4: Una nueva era de innovacion multimodal nativa para Inteligencia Artificial,2025-04-05,newsroom,accepted,Llama 4 Maverick and Llama 4 Scout were announced together in the official Meta newsroom launch post.,2026-03-07T21:10:40Z
meta-llama/llama-4-scout,meta,2025-04-05,https://about.fb.com/ltam/news/2025/04/la-coleccion-de-modelos-llama-4-el-inicio-de-una-nueva-era-de-innovacion-multimodal-nativa-para-inteligencia-artificial/,La coleccion de modelos Llama 4: Una nueva era de innovacion multimodal nativa para Inteligencia Artificial,2025-04-05,newsroom,accepted,Llama 4 Scout and Llama 4 Maverick were announced together in the official Meta newsroom launch post.,2026-03-07T21:10:40Z
minimax/minimax-m2.5,minimax,2026-02-12,https://www.minimaxi.com/news/minimax-m25,MiniMax M2.5: 更快更强更智能，为真实世界生产力而生,2026-02-12,newsroom,accepted,Official MiniMax news post with exact date and direct introduction of M2.5.,2026-02-27T13:54:53Z
mistralai/mistral-large-2512,mistralai,2025-12-02,https://docs.mistral.ai/getting-started/changelog/,Changelog - Mistral AI Documentation,2025-12-02,changelog,accepted,Date is from the dated changelog entry that explicitly names the model ID.,2026-02-27T13:54:53Z
moonshotai/kimi-k2.5,moonshotai,2026-01-27,https://www.kimi.com/ai-models/kimi-k2-5,"Kimi K2.5: AI That Sees, Codes, and Works Like an Expert",2026-01-27,docs_release_note,accepted,Release date is explicitly stated on Kimi's official model page; parsed page content did not expose a separate publication timestamp.,2026-02-27T13:54:53Z
openai/gpt-4.1,openai,2025-04-14,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-04-14,changelog,accepted,Dated changelog includes gpt-4.1 by name.,2026-02-27T13:54:53Z
openai/gpt-4o,openai,2024-05-13,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2024-05-13,changelog,accepted,Explicit dated launch entry for GPT-4o API availability.,2026-02-27T13:54:53Z
openai/gpt-4o-2024-08-06,openai,2024-08-06,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2024-08-06,changelog,accepted,Exact snapshot ID is explicitly listed with date.,2026-02-27T13:54:53Z
openai/gpt-4o-mini,openai,2024-07-18,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2024-07-18,changelog,accepted,Explicit dated launch entry for gpt-4o-mini.,2026-02-27T13:54:53Z
openai/gpt-4o-mini-2024-07-18,openai,2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,GPT-4o mini: advancing cost-efficient intelligence | OpenAI,2024-07-18,announcement_blog,accepted,"No explicit publication date is shown on the snapshot listing page, and no separate dated launch post for this exact snapshot ID was found. Backfilled from first-party launch post plus first-party model snapshot listing.",2026-02-27T13:54:53Z
openai/gpt-5,openai,2025-08-07,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-08-07,changelog,accepted,Dated launch entry includes gpt-5 explicitly.,2026-02-27T13:54:53Z
openai/gpt-5-chat,openai,2025-08-07,https://openai.com/index/introducing-gpt-5-for-developers/,Introducing GPT-5 for developers | OpenAI,2025-08-07,announcement_blog,accepted,No separate dated launch entry for exact ID gpt-5-chat was found; first-party docs expose gpt-5-chat-latest alias without explicit publish date. Backfilled from first-party OpenAI launch post with explicit date and alias mention.,2026-02-27T13:54:53Z
openai/gpt-5-codex,openai,2025-09-15,https://openai.com/index/introducing-upgrades-to-codex/,Introducing upgrades to Codex | OpenAI,2025-09-15,announcement_blog,accepted,"Predates API changelog rollout entry (Sep 23, 2025).",2026-02-27T13:54:53Z
openai/gpt-5.1,openai,2025-11-13,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-11-13,changelog,accepted,Dated API launch entry includes gpt-5.1 explicitly.,2026-02-27T13:54:53Z
openai/gpt-5.1-chat,openai,2025-11-13,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-11-13,changelog,accepted,First-party dated alias found as gpt-5.1-chat-latest; no separate dated slug for gpt-5.1-chat.,2026-02-27T13:54:53Z
openai/gpt-5.1-codex,openai,2025-11-13,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-11-13,changelog,accepted,Exact model ID appears in dated launch entry.,2026-02-27T13:54:53Z
openai/gpt-5.2,openai,2025-12-11,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-12-11,changelog,accepted,Dated launch entry includes gpt-5.2 explicitly.,2026-02-27T13:54:53Z
openai/gpt-5.2-chat,openai,2025-12-10,https://openai.com/index/introducing-gpt-5-2/,Introducing GPT-5.2 | OpenAI,2025-12-10,announcement_blog,accepted,User-requested launch date for gpt-5.2-chat so benchmark age plots include this variant.,2026-03-02T16:20:00Z
openai/gpt-5.2-codex,openai,2025-12-18,https://openai.com/index/introducing-gpt-5-2-codex/,Introducing GPT-5.2-Codex | OpenAI,2025-12-18,announcement_blog,accepted,"Earlier model announcement than API changelog deployment (Jan 14, 2026).",2026-02-27T13:54:53Z
openai/gpt-5.4-mini,openai,2026-03-17,https://developers.openai.com/api/docs/models/gpt-5.4-mini,GPT-5.4 mini Model | OpenAI API,2026-03-17,docs_model_page,accepted,Official model page exposes the dated snapshot alias gpt-5.4-mini-2026-03-17.,2026-03-17T00:00:00Z
openai/gpt-5.4-nano,openai,2026-03-17,https://developers.openai.com/api/docs/models/gpt-5.4-nano,GPT-5.4 nano Model | OpenAI API,2026-03-17,docs_model_page,accepted,Official model page exposes the dated snapshot alias gpt-5.4-nano-2026-03-17.,2026-03-17T00:00:00Z
openai/gpt-5.3-chat,openai,2026-03-04,https://openrouter.ai/openai/gpt-5.3-chat,OpenRouter model listing: openai/gpt-5.3-chat,2026-03-04,provider_catalog,accepted,User-requested manual release date override for charting.,2026-03-04T00:07:01Z
openai/gpt-5.3-codex,openai,2026-02-05,https://openai.com/index/introducing-gpt-5-3-codex/,Introducing GPT-5.3-Codex | OpenAI,2026-02-05,announcement_blog,accepted,"Earlier than API changelog rollout entry on Feb 24, 2026.",2026-02-27T13:54:53Z
openai/gpt-oss-120b,openai,2025-08-05,https://openai.com/index/introducing-gpt-oss/,Introducing gpt-oss | OpenAI,2025-08-05,announcement_blog,accepted,Exact model name appears in first-party launch announcement.,2026-02-27T13:54:53Z
openai/o3,openai,2025-04-16,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-04-16,changelog,accepted,Dated API launch entry explicitly names o3.,2026-02-27T13:54:53Z
openai/o4-mini,openai,2025-04-16,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,2025-04-16,changelog,accepted,Dated API launch entry explicitly names o4-mini.,2026-02-27T13:54:53Z
prime-intellect/intellect-3,prime-intellect,2025-11-26,https://www.primeintellect.ai/blog/launching-intellect-3,Introducing INTELLECT-3: The First Global Foundation Model,2025-11-26,announcement_blog,accepted,Blog post is first-party and includes both explicit date and release statement.,2026-02-27T13:54:53Z
qwen/qwen3.5-397b-a17b,qwen,2026-02-17,https://www.alibabacloud.com/blog/602894,Qwen3.5: Towards Native Multimodal Agents,2026-02-17,announcement_blog,accepted,Alibaba Cloud official post explicitly announces release and names Qwen3.5-397B-A17B.,2026-02-27T13:54:53Z
x-ai/grok-4.1-fast,x-ai,2025-11-19,https://x.ai/news/grok-4-1-fast,Grok 4.1 Fast,2025-11-19,newsroom,accepted,xAI news post explicitly dates and announces the launch.,2026-02-27T13:54:53Z
x-ai/grok-4.20-beta,x-ai,2026-03-10,https://docs.x.ai/docs/changelog,Release Notes | xAI,2026-03-10,docs_release_note,accepted,Official xAI release notes list Grok 4.20 Beta on 2026-03-10.,2026-03-12T15:11:49Z
x-ai/grok-4.20-multi-agent-beta,x-ai,2026-03-10,https://docs.x.ai/docs/changelog,Release Notes | xAI,2026-03-10,docs_release_note,accepted,Official xAI release notes list Grok 4.20 Multi Agent Beta on 2026-03-10.,2026-03-12T15:11:49Z
ai21/jamba-large-1.7,ai21,2025-07-03,https://docs.ai21.com/changelog?page=1,Changelog - AI21 Labs,2025-07-03,changelog,accepted,Official AI21 changelog entry explicitly announces Jamba 1.7 and points to Jamba Large 1.7 on Hugging Face.,2026-04-08T00:00:00Z
qwen/qwen3-235b-a22b,qwen,2025-04-29,https://qwenlm.github.io/blog/qwen3/,"Qwen3: Think Deeper, Act Faster",2025-04-29,announcement_blog,accepted,Official Qwen3 launch post announces Qwen3-235B-A22B as the flagship model and gives the exact release date.,2026-04-08T00:00:00Z
qwen/qwen3-coder,qwen,2025-07-22,https://qwenlm.github.io/zh/blog/qwen3-coder/,Qwen3-Coder: 在世界中自主编程,2025-07-22,announcement_blog,accepted,Official Qwen3-Coder launch post announces Qwen3-Coder-480B-A35B-Instruct and gives the exact release date.,2026-04-08T00:00:00Z
z-ai/glm-4.5,z-ai,2025-07-28,https://docs.z.ai/release-notes/new-released,New Released - Overview - Z.AI DEVELOPER DOCUMENT,2025-07-28,docs_release_note,accepted,Official Z.AI release-notes page lists GLM-4.5 Series on 2025-07-28.,2026-04-08T00:00:00Z
xiaomi/mimo-v2-flash,xiaomi,2025-12-16,https://mimo.xiaomi.com/blog/mimo-v2-flash,Introducing MiMo-V2-Flash | Xiaomi MiMo,2025-12-16,announcement_blog,accepted,First-party Xiaomi MiMo page with explicit date and launch statement.,2026-02-27T13:54:53Z
z-ai/glm-5,z-ai,2026-02-12,https://docs.z.ai/release-notes/new-released,New Released - Overview - Z.AI DEVELOPER DOCUMENT,2026-02-12,docs_release_note,accepted,Official Z.AI release-notes page lists GLM-5 with explicit date.,2026-02-27T13:54:53Z
openai/gpt-5.4,openai,2026-03-05,https://developers.openai.com/api/docs/models/gpt-5.4,GPT-5.4 Model | OpenAI API,2026-03-05,docs_model_page,accepted,Official model page exposes snapshot alias `gpt-5.4-2026-03-05`.,2026-04-08T00:00:00Z
openai/gpt-5.5,openai,2026-04-23,https://openai.com/index/introducing-gpt-5-5/,Introducing GPT-5.5 | OpenAI,2026-04-23,announcement_blog,accepted,"Official OpenAI launch post announces GPT-5.5 and says it is rolling out to ChatGPT and Codex users; API availability is described as coming soon.",2026-04-24T00:00:00Z
openai/gpt-5.5-pro,openai,2026-04-23,https://openai.com/index/introducing-gpt-5-5/,Introducing GPT-5.5 | OpenAI,2026-04-23,announcement_blog,accepted,"Official OpenAI launch post announces GPT-5.5 Pro and says it is rolling out to Pro, Business, and Enterprise users in ChatGPT; API availability is described as coming soon.",2026-04-24T00:00:00Z
z-ai/glm-5-turbo,z-ai,2026-03-15,https://docs.z.ai/release-notes/new-released,New Released - Overview - Z.AI DEVELOPER DOCUMENT,2026-03-15,docs_release_note,accepted,Official Z.AI release-notes entry lists GLM-5-Turbo on 2026-03-15.,2026-04-08T00:00:00Z
qwen/qwen3-max-thinking,qwen,2026-01-23,https://qwen.ai/blog?id=qwen3-max-thinking,Pushing Qwen3-Max-Thinking Beyond its Limits,2026-01-25,announcement_blog,accepted,The article explicitly names the API alias qwen3-max-2026-01-23; launch date is taken from that alias while the article date is 2026-01-25.,2026-04-08T00:00:00Z
minimax/minimax-m2.7,minimax,2026-03-18,https://platform.minimax.io/docs/release-notes/models,Models - MiniMax API Docs,2026-03-18,docs_release_note,accepted,"Official release notes say MiniMax M2.7 series was released on Mar. 18, 2026.",2026-04-08T00:00:00Z
mistralai/mistral-small-2603,mistralai,2026-03-16,https://docs.mistral.ai/getting-started/changelog/,Changelog - Mistral AI Documentation,2026-03-16,changelog,accepted,The March 16 changelog entry explicitly states that Mistral Small 4 (`mistral-small-2603`) was released.,2026-04-08T00:00:00Z
nvidia/nemotron-3-super-120b-a12b,nvidia,2026-03-10,https://research.nvidia.com/labs/nemotron/Nemotron-3-Super/,NVIDIA Nemotron 3 Super,2026-03-10,research_page,accepted,"Exact benchmark slug is inferred from NVIDIA first-party Nemotron 3 Super release page published on March 10, 2026.",2026-04-08T00:00:00Z
baidu/ernie-4.5-vl-424b-a47b,baidu,2025-06-30,https://ernie.baidu.com/blog/posts/ernie4.5/,Announcing the Open Source Release of the ERNIE 4.5 Model Family,2025-06-30,announcement_blog,accepted,Official ERNIE 4.5 family launch post includes the VL family and gives the exact release date.,2026-04-08T00:00:00Z
deepseek/deepseek-chat,deepseek,2025-12-01,https://api-docs.deepseek.com/news/news251201,DeepSeek-V3.2 Release,2025-12-01,docs_release_note,accepted,The benchmark alias currently maps to DeepSeek-V3.2 non-thinking mode; this row uses the first-party V3.2 release date rather than the older generic alias history.,2026-04-08T00:00:00Z
deepseek/deepseek-r1,deepseek,2025-01-20,https://api-docs.deepseek.com/news/news250120,DeepSeek-R1 Release,2025-01-20,docs_release_note,accepted,Official DeepSeek release note for the R1 family with explicit release date.,2026-04-08T00:00:00Z
moonshotai/kimi-k2,moonshotai,2025-07-11,https://huggingface.co/api/models/moonshotai/Kimi-K2-Instruct,moonshotai/Kimi-K2-Instruct | Hugging Face API,2025-07-11,publisher_repo_api,accepted,Official Moonshot model repo metadata shows the Kimi-K2-Instruct repository was created on 2025-07-11 UTC.,2026-04-08T00:00:00Z
nvidia/nemotron-3-super-120b-a12b:free,nvidia,2026-03-10,https://research.nvidia.com/labs/nemotron/Nemotron-3-Super/,NVIDIA Nemotron 3 Super,2026-03-10,research_page,accepted,"The :free benchmark alias maps to NVIDIA publicly released Nemotron 3 Super family announced on March 10, 2026.",2026-04-08T00:00:00Z
nvidia/nemotron-3-nano-30b-a3b:free,nvidia,2025-12-03,https://huggingface.co/api/models/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16 | Hugging Face API,2025-12-03,publisher_repo_api,accepted,Official NVIDIA publisher repo metadata shows the Nemotron 3 Nano 30B A3B base repository was created on 2025-12-03 UTC; the :free benchmark alias maps to that public release.,2026-04-08T00:00:00Z
nvidia/nemotron-nano-9b-v2:free,nvidia,2025-08-14,https://huggingface.co/api/models/nvidia/NVIDIA-Nemotron-Nano-9B-v2-Base,nvidia/NVIDIA-Nemotron-Nano-9B-v2-Base | Hugging Face API,2025-08-14,publisher_repo_api,accepted,Official NVIDIA publisher repo metadata shows the Nemotron Nano 9B v2 base repository was created on 2025-08-14 UTC; the :free benchmark alias maps to that public release.,2026-04-08T00:00:00Z
moonshotai/kimi-k2.6,moonshotai,2026-04-20,https://www.kimi.com/blog/kimi-k2-6,Kimi K2.6: Advancing Open-Source Coding,2026-04-20,announcement_blog,accepted,"Official Kimi blog states Kimi K2.6 is open sourced and now available via Kimi.com, the Kimi app, API, and Kimi Code; page assets and OpenRouter listing align on an Apr 20, 2026 release date.",2026-04-21T10:58:31Z
z-ai/glm-5.1,z-ai,2026-04-07,https://docs.z.ai/release-notes/new-released,New Released - Overview - Z.AI DEVELOPER DOCUMENT,2026-04-07,docs_release_note,accepted,Official Z.AI release-notes page lists GLM-5.1 with explicit date and model description.,2026-04-21T10:58:31Z
qwen/qwen3.6-plus,qwen,2026-04-01,https://qwen.ai/blog?id=qwen3.6,Qwen3.6-Plus: Towards Real World Agents,2026-04-01,announcement_blog,accepted,Official Qwen research page lists Release 2026/04/01 and describes the official launch of Qwen3.6-Plus as immediately available via API.,2026-04-21T10:58:31Z
stepfun/step-3.5-flash,stepfun,2026-02-01,https://huggingface.co/api/models/stepfun-ai/Step-3.5-Flash,stepfun-ai/Step-3.5-Flash | Hugging Face API,2026-02-01,publisher_repo_api,accepted,Official StepFun publisher repo metadata shows the Step-3.5-Flash repository was created on 2026-02-01 UTC.,2026-04-21T15:05:00Z
openrouter/healer-alpha,openrouter,2026-03-11,https://openrouter.ai/openrouter/healer-alpha,Healer Alpha - API Pricing & Providers | OpenRouter,2026-03-11,provider_model_page,accepted,"OpenRouter model page lists Released Mar 11, 2026 and created_at 2026-03-11T20:24:28Z.",2026-04-21T15:05:00Z
openrouter/hunter-alpha,openrouter,2026-03-11,https://openrouter.ai/openrouter/hunter-alpha,Hunter Alpha - API Pricing & Providers | OpenRouter,2026-03-11,provider_model_page,accepted,"OpenRouter model page lists Released Mar 11, 2026 and created_at 2026-03-11T20:24:31Z.",2026-04-21T15:05:00Z
